Transaction_ID,Date,Customer_ID,Product_ID,Total_Cost,Sales_Channel,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Customer_Satisfaction,Item_Returned,Return_Reason,Payment_Type,Taxable,Region,Country
200,2020-01-01 20:32:26,1086,536,8265.374549,Online,High,WH-3,2-Day,Cancelled,Neutral,False,Wrong Item,Wire Transfer,False,West,Canada
321,2020-01-02 06:55:08,1078,523,4047.850479,Reseller,Critical,WH-1,Overnight,Backorder,Satisfied,True,Damaged,PayPal,True,South,Mexico
989,2020-01-06 08:12:58,1077,535,5096.553818493923,Direct,Critical,WH-1,Overnight,Pending,Unsatisfied,True,Damaged,PayPal,True,West,Canada
682,2020-01-07 22:03:15,1027,546,8194.281993,Reseller,Medium,WH-1,Express,Pending,Unsatisfied,False,Wrong Item,Cash,True,South,Canada
484,2020-01-07 07:08:06,1052,556,8331.329249,Direct,Low,WH-2,2-Day,Delivered,Satisfied,True,Late,Cash,False,South,Mexico
483,2020-01-01 21:11:21,1074,549,6894.375244,Reseller,Medium,WH-3,2-Day,Backorder,Unsatisfied,True,Not Specified,PayPal,False,South,USA
757,2020-01-01 21:11:21,1061,547,4611.329101,Direct,Critical,WH-3,Express,Cancelled,Neutral,False,Late,Credit Card,True,South,Canada
985,2020-01-06 00:25:57,1040,542,7623.669347,Direct,Critical,WH-2,Overnight,Delivered,Neutral,True,Not Specified,Credit Card,False,North,Canada
795,2020-01-08 03:53:31,1014,533,6194.880827,Direct,Medium,WH-1,Express,Delivered,Neutral,True,Late,PayPal,False,East,Mexico
459,2020-01-06 22:16:13,1040,529,5933.960844,Partner,Critical,WH-3,Overnight,Pending,Unsatisfied,True,Late,Credit Card,False,South,USA
826,2020-01-02 04:32:26,1039,521,4697.420196,Reseller,Medium,WH-2,Overnight,Delivered,Unsatisfied,False,Wrong Item,Cash,True,East,Canada
116,2020-01-07 12:32:26,1080,535,5350.517196,Direct,Critical,WH-2,Regular,Cancelled,Satisfied,False,Not Specified,Cash,True,East,Canada
417,2020-01-06 05:11:21,1076,555,980.9134866,Partner,High,WH-3,Express,Backorder,Unsatisfied,False,Damaged,Credit Card,True,West,Canada
367,2020-01-08 22:16:13,1097,524,5943.900906,Partner,Critical,WH-3,Express,Delivered,Unsatisfied,False,Wrong Item,Credit Card,False,East,Canada
233,2020-01-05 13:11:21,1070,508,6757.282872,Reseller,Medium,WH-1,Overnight,Delivered,Unsatisfied,True,Late,Credit Card,False,North,Mexico
191,2020-01-05 23:34:03,1099,546,4743.788009,Partner,Medium,WH-1,Regular,Pending,Satisfied,True,Late,PayPal,False,North,USA
891,2020-01-06 22:29:11,1056,523,5013.353792,Direct,High,WH-2,Regular,Cancelled,Neutral,False,Damaged,Wire Transfer,False,West,Canada
770,2020-01-05 17:17:50,1021,510,9438.361611,Direct,Medium,WH-1,2-Day,Delivered,Neutral,True,Late,Credit Card,False,North,Canada
387,2020-01-07 01:17:50,1036,515,7036.432792,Online,High,WH-1,Express,Backorder,Neutral,True,Wrong Item,Credit Card,False,South,Canada
641,2020-01-02 09:04:52,1099,549,6980.821048,Direct,Low,WH-1,Express,Cancelled,Unsatisfied,False,Damaged,Credit Card,True,West,USA
278,2020-01-02 00:12:58,1020,542,5034.828782,Partner,Low,WH-1,Regular,Pending,Satisfied,False,Late,Cash,True,North,Mexico
649,2020-01-02 23:21:05,1096,535,7657.985051,Partner,Low,WH-3,Overnight,Backorder,Satisfied,False,Damaged,Cash,True,South,Mexico
599,2020-01-06 21:50:16,1046,548,3755.943792,Reseller,High,WH-1,Overnight,Delivered,Unsatisfied,False,Late,Credit Card,True,West,Canada
516,2020-01-08 01:30:49,1026,520,881.3191613,Reseller,Low,WH-3,Express,Delivered,Neutral,False,Damaged,PayPal,False,West,Mexico
871,2020-01-03 06:16:13,1018,521,6869.126171,Partner,High,WH-2,Overnight,Pending,Unsatisfied,True,Damaged,Credit Card,True,West,USA
46,2020-01-09 18:48:39,1062,531,7743.246107,Partner,High,WH-3,Overnight,Pending,Unsatisfied,False,Wrong Item,Wire Transfer,True,East,Canada
481,2020-01-02 14:55:08,1053,537,6887.646511,Direct,Critical,WH-3,2-Day,Delivered,Neutral,True,Damaged,PayPal,False,West,USA
671,2020-01-07 19:40:32,1100,534,5671.276433,Reseller,Low,WH-2,Overnight,Pending,Unsatisfied,False,Not Specified,Wire Transfer,True,West,Mexico
744,2020-01-04 09:04:52,1025,542,6154.682461,Direct,High,WH-3,Regular,Pending,Satisfied,True,Not Specified,Credit Card,True,North,Mexico
375,2020-01-02 10:22:42,1006,524,7419.523116,Direct,Critical,WH-2,Regular,Backorder,Neutral,False,Late,Credit Card,True,North,Mexico
717,2020-01-01 02:22:42,1054,528,3869.921289,Partner,High,WH-3,Regular,Pending,Satisfied,True,Not Specified,Credit Card,False,West,USA
136,2020-01-05 16:25:57,1005,544,4107.639468,Partner,High,WH-2,Regular,Backorder,Neutral,True,Not Specified,Wire Transfer,True,West,USA
166,2020-01-08 05:50:16,1036,516,3135.914457,Online,Low,WH-2,Express,Delivered,Unsatisfied,True,Not Specified,Credit Card,False,East,Canada
651,2020-01-01 09:56:45,1081,546,5096.553818493923,Reseller,High,WH-2,Regular,Pending,Satisfied,True,Damaged,Wire Transfer,True,East,Canada
779,2020-01-06 08:38:55,1012,526,6016.129646,Reseller,Critical,WH-3,2-Day,Backorder,Satisfied,False,Late,Wire Transfer,True,North,Canada
902,2020-01-02 16:51:54,1004,531,4293.659512,Online,Medium,WH-1,2-Day,Cancelled,Satisfied,True,Unknown,PayPal,True,North,Mexico
228,2020-01-04 01:17:50,1070,525,1607.539208,Partner,Low,WH-2,2-Day,Delivered,Neutral,True,Not Specified,Credit Card,False,South,USA
34,2020-01-03 19:40:32,1074,529,4028.938995,Reseller,Low,WH-1,2-Day,Backorder,Unsatisfied,True,Not Specified,Wire Transfer,True,South,Canada
612,2020-01-02 03:14:36,1007,538,3887.663672,Direct,High,WH-2,Regular,Cancelled,Neutral,True,Not Specified,Cash,True,South,Canada
234,2020-01-04 03:01:37,1070,511,9349.771686,Reseller,High,WH-1,Express,Cancelled,Satisfied,False,Not Specified,Cash,True,West,Mexico
50,2020-01-07 04:19:28,1092,545,2167.17046,Online,Critical,WH-2,Regular,Delivered,Unsatisfied,True,Late,Wire Transfer,False,West,Mexico
8,2020-01-01 04:19:28,1085,536,5852.379463,Partner,Medium,WH-3,Regular,Backorder,Satisfied,True,Damaged,Cash,False,West,Canada
330,2020-01-06 22:29:11,1064,546,2226.899239,Partner,Medium,WH-2,2-Day,Backorder,Unsatisfied,True,Unknown,Cash,False,West,Mexico
822,2020-01-09 09:56:45,1040,525,5096.553818493923,Online,Critical,WH-2,2-Day,Pending,Satisfied,True,Wrong Item,PayPal,False,North,USA
804,2020-01-08 23:08:06,1082,533,3854.477445,Online,Low,WH-3,Overnight,Cancelled,Satisfied,False,Not Specified,PayPal,False,East,Canada
875,2020-01-08 21:11:21,1048,550,4446.708506,Reseller,High,WH-1,2-Day,Delivered,Unsatisfied,True,Wrong Item,Wire Transfer,True,West,Canada
932,2020-01-04 14:42:10,1003,501,3876.673705,Partner,Medium,WH-3,2-Day,Delivered,Neutral,False,Unknown,Credit Card,False,South,USA
336,2020-01-09 16:00:00,1011,553,8853.637049,Partner,Low,WH-1,Express,Pending,Neutral,True,Damaged,PayPal,True,North,USA
881,2020-01-05 18:35:41,1049,522,5096.553818493923,Partner,Low,WH-2,Regular,Pending,Neutral,False,Damaged,Wire Transfer,False,North,USA
322,2020-01-06 11:27:34,1075,512,2925.695551,Reseller,Medium,WH-2,2-Day,Delivered,Neutral,False,Damaged,Credit Card,True,North,Canada
980,2020-01-05 03:27:34,1062,552,5982.612283,Online,Critical,WH-2,Regular,Cancelled,Satisfied,True,Damaged,Cash,True,South,Mexico
374,2020-01-01 07:47:02,1070,560,4253.975326,Reseller,High,WH-1,Regular,Cancelled,Unsatisfied,False,Damaged,Cash,True,West,USA
54,2020-01-06 02:22:42,1026,519,6625.079861,Online,Low,WH-1,Express,Pending,Neutral,False,Wrong Item,Cash,False,East,Canada
997,2020-01-08 09:56:45,1097,516,1274.961793,Direct,Critical,WH-3,Express,Delivered,Neutral,True,Late,PayPal,False,South,Canada
169,2020-01-08 20:19:28,1099,560,597.7027114,Reseller,Low,WH-1,Overnight,Pending,Neutral,False,Late,Credit Card,True,North,Canada
